INSERT INTO `tbl_producto` (`id`, `nombre`, `precio`, `imagen`, `cantidad`, `newPrecio`, `description`, `peso`, `img1`, `img2`, `img3`, `img4`, `created_at`, `updated_at`) VALUES
(213, 'Niple PVC con Rosca 1x2', 2.30, '852769.jpg', 53, 2.20, 'Producto en stock.', '34', '688546.jpg', '', '', '', NULL, NULL),
(214, 'Niple PVC con Rosca 3/4x 2', 1.20, '458164.jpg', 52, 1.20, 'Producto en stock.', '23', '772227.jpg', '', '', '', NULL, NULL),
(215, 'Codo PVC 1', 5.50, '499659.jpg', 53, 5.90, 'Producto en stock.', '52', '365286.jpg', '', '', '', NULL, NULL),
(216, 'Codo PVC 1 1/4', 10.90, '312106.jpg', 42, 10.00, 'Producto en stock.', '54', '754957.jpg', '', '', '', NULL, NULL),
(217, 'Codo PVC 1/2', 1.50, '937518.jpg', 40, 1.40, 'Producto en stock.', '42', '273585.jpg', '', '', '', NULL, NULL),
(218, 'Codo PVC 1/2', 2.70, '852005.jpg', 92, 2.30, 'Producto en stock.', '42', '223270.jpg', '', '', '', NULL, NULL),
(219, 'Codo PVC 2\'\' 45° SP', 9.20, '551493.jpg', 45, 8.80, 'Producto en stock.', '53', '763368.jpg', '', '', '', NULL, NULL),
(220, 'Codo PVC 1', 4.90, '560834.jpg', 42, 4.50, 'Producto en stock.', '42', '460361.jpg', '', '', '', NULL, NULL),
(221, 'Codo PVC 1', 3.50, '750646.jpg', 98, 3.40, 'Producto en stock.', '423', '770497.jpg', '', '', '', NULL, NULL),
(222, 'Codo PVC 2', 14.39, '556984.jpg', 92, 13.90, 'Producto en stock.', '42', '543086.jpg', '', '', '', NULL, NULL),
(223, 'Codo PVC 2', 18.70, '839014.jpg', 92, 17.30, 'Producto en stock.', '42', '700511.jpg', '', '', '', NULL, NULL),
(224, 'Codo PVC 1', 7.90, '162892.jpg', 82, 6.90, 'Producto en stock.', '42', '635761.jpg', '', '', '', NULL, NULL),
(225, 'Codo PVC 1', 5.70, '327370.jpg', 53, 5.30, 'Productos en stock.', '42', '828252.jpg', '', '', '', NULL, NULL),
(226, 'Codo PVC 2', 17.70, '576121.jpg', 42, 16.40, 'Producto en stock.', '43', '313928.jpg', '', '', '', NULL, NULL),
(227, 'Codo PVC 1/2', 1.30, '67646.jpg', 42, 1.20, 'Productos en stock.', '46', '239341.jpg', '', '', '', NULL, NULL),
(228, 'Codo PVC 1/2', 1.20, '565182.jpg', 82, 1.20, 'Producto en stock.', '43', '17930.jpg', '', '', '', NULL, NULL),
(229, 'Codo PVC 3/4', 5.70, '149357.jpg', 52, 5.30, 'Productos en stock.', '532', '815407.jpg', '', '', '', NULL, NULL),
(230, 'Codo PVC 1/2', 2.90, '788813.jpg', 42, 2.40, 'Producto en stock.', '72', '378077.jpg', '', '', '', NULL, NULL),
(231, 'Codo PVC 3/4', 3.30, '218090.jpg', 82, 3.10, 'Productos en stock.', '42', '600651.jpg', '', '', '', NULL, NULL),
(232, 'Codo PVC Mixto 1/2', 2.00, '860145.jpg', 82, 1.90, 'Producto en stock.', '78', '497529.jpg', '', '', '', NULL, NULL),
(233, 'Codo PVC 3/4', 2.50, '777471.jpg', 82, 2.30, 'Productos en stock.', '63', '976715.jpg', '', '', '', NULL, NULL),
(234, 'Codo PVC 1/2', 2.59, '820707.jpg', 82, 2.49, 'Producto en stock.', '27', '777022.jpg', '', '', '', NULL, NULL),
(235, 'Codo PVC 3/4', 5.20, '424744.jpg', 83, 5.00, 'Productos en stock.', '42', '73118.jpg', '', '', '', NULL, NULL),
(236, 'Codo PVC 1', 5.10, '976029.jpg', 82, 4.90, 'Producto en stock.', '43', '320823.jpg', '', '', '', NULL, NULL),
(237, 'Codo PVC 1 1/2\'\' 45° SP', 8.10, '590343.jpg', 89, 7.99, 'Productos en stock.', '34', '216260.jpg', '', '', '', NULL, NULL),
(238, 'Codo PVC 1', 4.90, '171859.jpg', 92, 4.50, 'Producto en stock.', '82', '230400.jpg', '', '', '', NULL, NULL),
(239, 'Codo PVC 1', 7.10, '726700.jpg', 92, 6.70, 'Productos en stock.', '72', '478789.jpg', '', '', '', NULL, NULL),
(240, 'Codo PVC 3/4', 3.10, '760621.jpg', 93, 2.90, 'Producto en stock.', '24', '368246.jpg', '', '', '', NULL, NULL),
(241, 'Codo Desague 3', 8.00, '543973.jpg', 98, 7.60, 'Productos en stock.', '72', '409247.jpg', '', '', '', NULL, NULL),
(242, 'Codo PVC 3/4', 4.58, '257259.jpg', 92, 4.20, 'Producto en stock.', '42', '774234.jpg', '', '', '', NULL, NULL),
(243, 'Codo Desague 2', 2.00, '941839.jpg', 92, 1.90, 'Productos en stock.', '42', '615831.jpg', '', '', '', NULL, NULL),
(244, 'Codo Desague 3', 9.00, '890888.jpg', 98, 8.70, 'Producto en stock.', '32', '155000.jpg', '', '', '', NULL, NULL),
(245, 'Codo Desague 3', 9.70, '427256.jpg', 98, 9.30, 'Producto en stock.', '233', '555790.jpg', '', '', '', NULL, NULL),
(246, 'Codo De Ventilación Desague 4', 9.30, '750978.jpg', 89, 9.20, 'Productos en stock.', '231', '523887.jpg', '', '', '', NULL, NULL),
(247, 'Codo De Ventilación Desague 4', 13.00, '754987.jpg', 73, 12.30, 'Producto en stock.', '421', '180827.jpg', '', '', '', NULL, NULL),
(248, 'Tapón Hembra PVC 1 1/2', 6.91, '30799.jpg', 92, 6.30, 'Productos en stock.', '432', '717742.jpg', '', '', '', NULL, NULL),
(249, 'Tapón Hembra PVC 2', 8.90, '812194.jpg', 92, 8.30, 'Productos en stock.', '423', '716476.jpg', '', '', '', NULL, NULL),
(250, 'Unión PVC 1 1/2', 9.45, '409011.jpg', 93, 9.20, 'Producto en stock.', '23', '83455.jpg', '', '', '', NULL, NULL),
(251, 'Reducción PVC 1', 4.77, '789943.jpg', 93, 4.30, 'Productos en stock.', '42', '977887.jpg', '', '', '', NULL, NULL),
(252, 'METUSA Anillo de Cera con Guía para Inodoro', 16.90, '652384.jpeg', 64, 13.00, 'Producto en stock.', '120', '63850.jpeg', '', '', '', NULL, NULL),
(253, 'HUMBOLDT Anillo Premium con Guía', 14.90, '303955.jpeg', 62, 12.00, 'Producto en stock.', '298', '214022.jpeg', '', '', '', NULL, NULL),
(254, 'Karson Anillo de cera sin guía', 8.90, '61227.jpeg', 99, 7.60, 'Producto en stock.', '248', '187579.jpeg', '', '', '', NULL, NULL),
(255, 'HUMBOLDT Anillo de cera con guía', 12.90, '872445.jpeg', 68, 11.00, 'Producto en stock.', '261', '465355.jpeg', '', '', '', NULL, NULL),
(256, 'HUMBOLDT Kit de Instalación para Lavatorio Estándar', 39.90, '988502.jpeg', 61, 37.60, 'Producto en stock.', '605', '754507.jpeg', '', '', '', NULL, NULL),
(257, 'Pavco Unión Universal PVC 1/2\'\'', 2.90, '443721.jpeg', 84, 2.90, 'Producto en stock.', '164', '202778.jpeg', '', '', '', NULL, NULL),
(258, 'Paco Unión Universal PVC 3/4', 4.90, '797701.jpeg', 85, 4.80, 'Producto en stock.', '134', '869765.jpeg', '', '', '', NULL, NULL),
(259, 'Sanking Unión Universal PVC 2\'\' C/R', 30.90, '821002.jpeg', 95, 30.00, 'Producto en stock.', '239', '240750.jpeg', '', '', '', NULL, NULL),
(260, 'HUMBOLDT Unión universal 3/4', 3.80, '188324.jpeg', 65, 3.80, 'Producto en stock.', '93', '614144.jpeg', '', '', '', NULL, NULL),
(261, 'Jameco Canastilla para Lavadero con Rejilla Tupida', 12.90, '495315.jpeg', 95, 10.00, 'Producto en stock.', '60', '510370.jpeg', '', '', '', NULL, NULL),
(262, 'Record Canastilla desagüe de 3 1/2\"', 17.90, '373047.jpeg', 96, 12.90, 'Producto en stock.', '68', '850771.jpeg', '', '', '', NULL, NULL),
(263, 'Record Desagüe Canastilla Redonda 3 1/2', 34.90, '319637.jpeg', 85, 29.90, 'Producto en stock.', '114', '873709.jpeg', '', '', '', NULL, NULL),
(264, 'Galusa Desagüe canastilla 2 1/4', 30.90, '174772.jpeg', 68, 27.90, 'Producto en stock.', '95', '320483.jpeg', '', '', '', NULL, NULL),
(265, 'Rotoplas Filtro para Tanques', 99.90, '27024.jpeg', 96, 93.40, 'Producto en stock.', '985', '464596.jpeg', '', '', '', NULL, NULL),
(266, 'Rotoplas Filtro Jumbo para Tanques', 70.00, '817939.jpeg', 65, 64.50, 'Producto en stock.', '650', '309976.jpeg', '', '', '', NULL, NULL),
(267, 'Acquaplas Cartucho para Filtro de Tanque', 32.90, '851273.jpeg', 94, 30.90, 'Producto en stock.', '621', '30592.jpeg', '', '', '', NULL, NULL),
(268, 'Rotoplas Pack Multiconector + Filtro para Tanques + Válvula y Flotador ', 165.90, '55594.jpeg', 68, 159.90, 'Producto en stock.', '1932', '322248.jpeg', '', '', '', NULL, NULL),
(285, 'Caja octogonal de luz dd', 45.00, '833800.jpg', 205, 2.10, 'Producto en stock.', '60', '130581.jpg', '', '', '', NULL, NULL),
(287, 'Soldimix', 12.00, '366784.jpg', 67, 10.50, 'Producto en stock.', '682', '639910.jpg', '', '', '', NULL, NULL),
(288, 'Moldemix', 8.50, '486431.jpeg', 63, 7.00, 'Producto en stock.', '352', '851772.jpeg', '', '', '', NULL, NULL),
(289, 'Trampa pavco 2°', 15.00, '632441.jpeg', 32, 13.00, 'Producto en stock.', '154', '731261.jpeg', '', '', '', NULL, NULL),
(290, 'Tubo de abasto', 12.00, '606034.jpeg', 36, 11.00, 'Producto en stock.', '241', '38354.jpeg', '', '', '', NULL, NULL);
